"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10370","POS_003 - Submit form with email containing plus sign","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","16011","EDGE_006 - Submit form with different phone formats","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","3041","POS_004 - Form reset clears all fields","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","10040","POS_002 - Submit form with special characters in name (apostrophe)","webkit","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1521","NEG_005 - Submit form with invalid email (missing @)","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","3062","POS_001 - Submit form with valid data","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","3831","BOUND_007 - Name field at minimum valid length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","2004","BOUND_002 - Name field exceeding maximum length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","4745","DATA_003 - Form state after successful submission","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
"","9344","POS_003 - Submit form with email containing plus sign","webkit","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","4750","EDGE_007 - Submit form with leading and trailing whitespace","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","3039","POS_002 - Submit form with special characters in name (apostrophe)","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","2988","POS_003 - Submit form with email containing plus sign","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1527","NEG_009 - Submit form without zip code","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","10392","POS_001 - Submit form with valid data","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1539","NEG_002 - Submit form without email","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","10074","POS_001 - Submit form with valid data","webkit","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1166","NEG_004 - Submit completely empty form","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","35352","POS_004 - Form reset clears all fields","webkit","2026-04-05","broken","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1492","NEG_003 - Submit form without phone","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","1642","NEG_006 - Submit form with email missing domain","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","12158","POS_002 - Submit form with special characters in name (apostrophe)","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","3570","EDGE_005 - Submit form with email containing subdomain","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","6782","DATA_002 - API response status code validation","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
"","16337","BOUND_001 - Name field at exact maximum length boundary","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","1449","NEG_001 - Submit form without full name","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","9122","DATA_001 - Duplicate form submission handling","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
"","3871","BOUND_006 - Email field at minimum valid length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","3775","EDGE_002 - Submit form with maximum length name (255 chars)","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","1552","NEG_007 - Submit form without address","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","4423","BOUND_005 - Phone field at maximum valid length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","14080","POS_004 - Form reset clears all fields","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","3584","EDGE_003 - Submit form with hyphenated name","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","3809","BOUND_004 - Phone field at minimum valid length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","1489","NEG_008 - Submit form without city","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","3578","EDGE_001 - Submit form with single character name","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","4626","DATA_004 - Success response message content validation","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
"","3994","EDGE_004 - Submit form with multiple spaces in name","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","6415","BOUND_003 - Email field at maximum valid length (254 chars)","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","2231","DATA_005 - Data persistence after page navigation","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
